b,yolov8_det_map5095,faster_rcnn_map5095,yolov8_det_map50,faster_rcnn_map50
1576,0.5115390965549906,0.386306237919392,0.7062419002986969,0.5931936175711725
1577,0.46341670720444567,0.3454597418459112,0.656018795035807,0.5394921853058333
1578,0.47959048640908647,0.34179790487580886,0.672061544989396,0.5300267809313899
1579,0.5330893060875721,0.4096643447599244,0.7424706812991722,0.6150297738680243
1580,0.4936238450538048,0.3805329194797334,0.700699472254263,0.5829380474033439
1581,0.48106104319102105,0.37473859525618225,0.6576234767799477,0.5807295785679125
1582,0.4884154230289602,0.35780946275954356,0.6722496168198183,0.5476708650311581
1583,0.4931654323130421,0.3656223907357048,0.690755579003831,0.5543860830341186
1584,0.5094411147961955,0.37738286252525605,0.7072222345978227,0.571387164298487
1585,0.51896772322008,0.4028021072786716,0.7230030029114753,0.6139331593847238
1586,0.4938377197748957,0.3812217435027514,0.6869285036738964,0.5885518764551654
1587,0.5064665886315693,0.36466405544014424,0.7022462397655349,0.5791146608387004
1588,0.49929632820348424,0.3802323565316858,0.6928806397694824,0.587561154008099
1589,0.4730599367493712,0.3579087733761255,0.6511811464505919,0.5604173517049527
1590,0.4723899696738858,0.3491624940760475,0.6585932436456102,0.5370023630455222
1591,0.48841116247012095,0.3576036941955974,0.6686615891203623,0.5513949645733722
1592,0.5030082770686298,0.35919376633307015,0.7086918700397463,0.5492381247719333
1593,0.4896622352460591,0.35102095709665987,0.6752380791659612,0.5586945198191896
1594,0.49501298590010506,0.3724185391094543,0.6900985622715329,0.5756692605794042
1595,0.48822617919085126,0.3645960912288716,0.6759451888759229,0.5594761637276706
1596,0.4865229229843326,0.373663131073761,0.6698900031211921,0.561301414195562
1597,0.485576548302916,0.3628636324002619,0.6842804041813604,0.5576193929784834
1598,0.5034308439434961,0.36049101850266574,0.7108252752140859,0.5590212878824854
1599,0.46757827319332257,0.3550129417166116,0.6879543379605331,0.5679319508998646
1600,0.49609283753272104,0.3903893589753463,0.6873552892660738,0.5836054645812416
1601,0.5024876375636382,0.37352953901686725,0.7124287999637418,0.578441802604526
1602,0.5214099194334474,0.3865813253275474,0.7099149474203279,0.5952850265496571
1603,0.49496494840913713,0.36611094768624114,0.6764423600705516,0.5474936944145093
1604,0.504283815212973,0.36338757614100625,0.7221882704745135,0.5649106565294996
1605,0.5102184358582582,0.34409724287274535,0.7179785864792542,0.5468530128209919
1606,0.503801809146594,0.40351831550193934,0.7056064462874789,0.611008939034204
1607,0.478208667413638,0.3602876020769995,0.6698151039164132,0.5531647227702572
1608,0.4974499600791622,0.38061683900515153,0.6865700182204391,0.5720686646435416
1609,0.5082207374081663,0.38860981582724996,0.6990550945498082,0.5791725475656027
1610,0.5129859679303922,0.36948982856010665,0.7028402225237238,0.5933340372056863
1611,0.4961384350272364,0.36879788967423927,0.6914622611957821,0.568706544329091
1612,0.4977674995013077,0.3726803919371923,0.7048376195474905,0.5688118110856784
1613,0.5063524388126981,0.3607815509892194,0.7139427862432346,0.5525378125805461
1614,0.48439091472697093,0.3723171986609519,0.6749606204674804,0.5536205998847171
1615,0.5195991985052308,0.3934102560340976,0.732251407951422,0.6204220489396749
1616,0.4869474726024795,0.37461891995195473,0.6834543631662214,0.5693346489361824
1617,0.5153727888613147,0.36915827946466595,0.7152220993857973,0.5670334741107004
1618,0.4884871681495671,0.38283293225829607,0.6789814876735225,0.5703346466404253
1619,0.4764396282266255,0.37393710180819967,0.6785661564197721,0.5681798952693945
1620,0.4651686494976042,0.3581915261096552,0.6661503745935805,0.553862070770459
1621,0.4975314981104726,0.37973741734004535,0.6873678627532885,0.5690578679243012
1622,0.4894913527226268,0.3651921343933665,0.6809905379920786,0.5753127987036718
1623,0.49865581342706966,0.3662021031948831,0.6860042767495844,0.5709257580047475
