epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,3806.94,0.96207,0.99342,1.26374,0.74473,0.64201,0.68386,0.5048,1.43305,1.4764,1.61805,0.000236959,0.000236959,0.000236959
54,3880.27,0.95617,0.98598,1.26294,0.73685,0.66208,0.6918,0.51888,1.39544,1.43858,1.60804,0.000229208,0.000229208,0.000229208
55,3950.58,0.94049,0.96677,1.25327,0.70409,0.67013,0.68426,0.50908,1.40114,1.44694,1.60056,0.00022148,0.00022148,0.00022148
56,4020.78,0.94833,0.96418,1.2533,0.67863,0.68798,0.68323,0.51341,1.40246,1.45563,1.59847,0.000213782,0.000213782,0.000213782
57,4090.11,0.93409,0.95068,1.247,0.7005,0.68237,0.68538,0.50895,1.43394,1.45375,1.62686,0.000206123,0.000206123,0.000206123
58,4160,0.93123,0.94457,1.24541,0.71792,0.66806,0.6854,0.51531,1.42486,1.48841,1.62837,0.00019851,0.00019851,0.00019851
59,4229.24,0.92178,0.93338,1.23525,0.72783,0.64873,0.67416,0.50521,1.41151,1.46546,1.61696,0.000190949,0.000190949,0.000190949
60,4298.81,0.91241,0.92501,1.232,0.76454,0.63734,0.69087,0.51651,1.44107,1.44733,1.6408,0.00018345,0.00018345,0.00018345
61,4368.01,0.92058,0.91398,1.23621,0.71468,0.67002,0.69017,0.52059,1.41034,1.44533,1.62366,0.000176018,0.000176018,0.000176018
62,4438.27,0.91552,0.90778,1.22919,0.73708,0.65027,0.69121,0.51705,1.41286,1.4583,1.60957,0.000168662,0.000168662,0.000168662
63,4508.26,0.90649,0.89159,1.2256,0.74925,0.65012,0.69017,0.51645,1.41671,1.46271,1.62035,0.000161389,0.000161389,0.000161389
64,4578.37,0.89783,0.87579,1.21868,0.73923,0.66822,0.6897,0.51853,1.42096,1.46547,1.62664,0.000154206,0.000154206,0.000154206
65,4648.48,0.902,0.8849,1.21602,0.73268,0.66615,0.69178,0.51393,1.45525,1.49653,1.67269,0.00014712,0.00014712,0.00014712
66,4718.61,0.89959,0.87233,1.21693,0.72084,0.6746,0.69675,0.52684,1.39654,1.45827,1.61098,0.000140137,0.000140137,0.000140137
67,4788.29,0.88777,0.85859,1.21029,0.68915,0.69774,0.69464,0.52001,1.41353,1.46188,1.62397,0.000133266,0.000133266,0.000133266
68,4857.48,0.88312,0.85335,1.2023,0.71737,0.69046,0.69286,0.52663,1.40221,1.44505,1.61694,0.000126512,0.000126512,0.000126512
69,4926.86,0.87725,0.84539,1.19599,0.71781,0.68482,0.69771,0.52438,1.42058,1.46024,1.63631,0.000119883,0.000119883,0.000119883
70,4996.02,0.8765,0.84263,1.19537,0.74127,0.67,0.69909,0.5273,1.42833,1.46405,1.64506,0.000113384,0.000113384,0.000113384
71,5065.53,0.86863,0.83103,1.19967,0.73273,0.6757,0.69735,0.52452,1.42819,1.45124,1.64598,0.000107023,0.000107023,0.000107023
